transaction_id,transaction_address_1,transaction_address_2,transaction_city,transaction_state,transaction_zip,normalized_transaction,canonical_id,canonical_address_1,canonical_address_2,canonical_city,canonical_state,canonical_zip,normalized_canonical,match_type,match_score,match_status
none-north-11th-street-unit-4w-brooklyn-ny-11211,North 11th Street,Unit 4W,Brooklyn,NY,11211,North 11th Street Unit 4W Brooklyn NY 11211,42603,North 11th Street,,Brooklyn,NY,11211,North 11th Street Unit 4W Brooklyn NY 11211,exact,1.0,matched
none-conselyea-street-unit-1-brooklyn-ny-11211,Conselyea Street,Unit 1,Brooklyn,NY,11211,Conselyea Street Unit 1 Brooklyn NY 11211,42605,Conselyea Street,,Brooklyn,NY,11211,Conselyea Street Unit 1 Brooklyn NY 11211,exact,1.0,matched
none-128-woodpoint-road-unit-5-brooklyn-ny-11211,128 Woodpoint Road,Unit 5,Brooklyn,NY,11211,128 Woodpoint Road Unit 5 Brooklyn NY 11211,42604,128 Woodpoint Road,,Brooklyn,NY,11211,128 Woodpoint Road Unit 5 Brooklyn NY 11211,exact,1.0,matched
none-jackson-street-unit-4-brooklyn-ny-11211,Jackson Street,Unit 4,Brooklyn,NY,11211,Jackson Street Unit 4 Brooklyn NY 11211,42606,Jackson Street,,Brooklyn,NY,11211,Jackson Street Unit 4 Brooklyn NY 11211,exact,1.0,matched
none-conselyea-street-unit-2-brooklyn-ny-11211,Conselyea Street,Unit 2,Brooklyn,NY,11211,Conselyea Street Unit 2 Brooklyn NY 11211,42605,Conselyea Street,,Brooklyn,NY,11211,Conselyea Street Unit 1 Brooklyn NY 11211,fuzzy,1.0,matched
none-north-11th-street-unit-4w-brooklyn-ny-11211-0,North 11th Street,Unit 4W,Brooklyn,NY,11211,North 11th Street Unit 4W Brooklyn NY 11211,42603,North 11th Street,,Brooklyn,NY,11211,North 11th Street Unit 4W Brooklyn NY 11211,exact,1.0,matched
none-74-jackson-street-unit-1-brooklyn-ny-11211,74 Jackson Street,Unit 1,Brooklyn,NY,11211,74 Jackson Street Unit 1 Brooklyn NY 11211,42606,Jackson Street,,Brooklyn,NY,11211,Jackson Street Unit 4 Brooklyn NY 11211,fuzzy,0.95,matched
none-74-jackson-street-unit-2-brooklyn-ny-11211,74 Jackson Street,Unit 2,Brooklyn,NY,11211,74 Jackson Street Unit 2 Brooklyn NY 11211,42606,Jackson Street,,Brooklyn,NY,11211,Jackson Street Unit 4 Brooklyn NY 11211,fuzzy,0.95,matched
none-174-jackson-street-unit-2a-brooklyn-ny-11211,174 Jackson Street,Unit 2A,Brooklyn,NY,11211,174 Jackson Street Unit 2A Brooklyn NY 11211,42606,Jackson Street,,Brooklyn,NY,11211,Jackson Street Unit 4 Brooklyn NY 11211,fuzzy,0.95,matched
none-128-woodpoint-road-unit-2-brooklyn-ny-11211-0,128 Woodpoint Road,Unit 2,Brooklyn,NY,11211,128 Woodpoint Road Unit 2 Brooklyn NY 11211,42604,128 Woodpoint Road,,Brooklyn,NY,11211,128 Woodpoint Road Unit 5 Brooklyn NY 11211,fuzzy,0.9473684210526315,matched
none-jackson-street-unit-2-brooklyn-ny-11211,Jackson Street,Unit 2,Brooklyn,NY,11211,Jackson Street Unit 2 Brooklyn NY 11211,42606,Jackson Street,,Brooklyn,NY,11211,Jackson Street Unit 4 Brooklyn NY 11211,fuzzy,0.9473684210526315,matched
none-128-woodpoint-road-unit-1-brooklyn-ny-11211,128 Woodpoint Road,Unit 1,Brooklyn,NY,11211,128 Woodpoint Road Unit 1 Brooklyn NY 11211,42604,128 Woodpoint Road,,Brooklyn,NY,11211,128 Woodpoint Road Unit 5 Brooklyn NY 11211,fuzzy,0.9473684210526315,matched
none-woodpoint-road-unit-5-brooklyn-ny-11211,Woodpoint Road,Unit 5,Brooklyn,NY,11211,Woodpoint Road Unit 5 Brooklyn NY 11211,42604,128 Woodpoint Road,,Brooklyn,NY,11211,128 Woodpoint Road Unit 5 Brooklyn NY 11211,fuzzy,0.9473684210526315,matched
none-128-woodpoint-road-unit-2-brooklyn-ny-11211,128 Woodpoint Road,Unit 2,Brooklyn,NY,11211,128 Woodpoint Road Unit 2 Brooklyn NY 11211,42604,128 Woodpoint Road,,Brooklyn,NY,11211,128 Woodpoint Road Unit 5 Brooklyn NY 11211,fuzzy,0.9473684210526315,matched
none-jackson-street-unit-1b-brooklyn-ny-11211,Jackson Street,Unit 1B,Brooklyn,NY,11211,Jackson Street Unit 1B Brooklyn NY 11211,42606,Jackson Street,,Brooklyn,NY,11211,Jackson Street Unit 4 Brooklyn NY 11211,fuzzy,0.9473684210526315,matched
none-25-conselyea-street-unit-1-brooklyn-ny-11211,25 Conselyea Street,Unit 1,Brooklyn,NY,11211,25 Conselyea Street Unit 1 Brooklyn NY 11211,42605,Conselyea Street,,Brooklyn,NY,11211,Conselyea Street Unit 1 Brooklyn NY 11211,fuzzy,0.9444444444444444,matched
